County,Population
Accomack County,32238
Albemarle County,110652
Alexandria City,158726
Alleghany County,14701
Amelia County,13014
Amherst County,31667
Appomattox County,16043
Arlington County,240119
Augusta County,76544
Bath County,4119
Bedford County,79811
Bland County,6239
Botetourt County,33633
Bristol City,17329
Brunswick County,16037
Buchanan County,20613
Buckingham County,17168
Buena Vista City,6402
Campbell County,55304
Caroline County,30860
Carroll County,30074
Charles City County,6821
Charlotte County,11820
Charlottesville City,46950
Chesapeake City,247011
Chesterfield County,358245
Clarke County,14622
Colonial Heights City,17205
Covington City,5639
Craig County,5077
Culpeper County,53569
Cumberland County,9933
Danville City,39869
Dickenson County,14078
Dinwiddie County,28688
Emporia City,5257
Essex County,10943
Fairfax City,23429
Fairfax County,1150847
Falls Church City,14631
Fauquier County,71361
Floyd County,15777
Fluvanna County,27422
Franklin City,7833
Franklin County,56167
Frederick County,91119
Fredericksburg City,29492
Galax City,6296
Giles County,16663
Gloucester County,37459
Goochland County,24431
Grayson County,15493
Greene County,20131
Greensville County,11280
Halifax County,33633
Hampton City,135464
Hanover County,108262
Harrisonburg City,53204
Henrico County,333766
Henry County,50309
Highland County,2200
Hopewell City,22375
Isle of Wight County,37725
James City County,77612
King and Queen County,6942
King George County,27381
King William County,17641
Lancaster County,10618
Lee County,23238
Lexington City,7279
Loudoun County,422784
Louisa County,38132
Lunenburg County,12267
Lynchburg City,81561
Madison County,13312
Manassas City,40869
Manassas Park City,18004
Martinsville City,12355
Mathews County,8766
Mecklenburg County,30679
Middlesex County,10569
Montgomery County,98391
Nelson County,14755
New Kent County,23648
Newport News City,179062
Norfolk City,242803
Northampton County,11673
Northumberland County,12069
Norton City,3985
Nottoway County,15160
Orange County,37695
Page County,23933
Patrick County,17493
Petersburg City,30446
Pittsylvania County,59850
Poquoson City,12257
Portsmouth City,95094
Powhatan County,30148
Prince Edward County,23006
Prince George County,38686
Prince William County,475533
Pulaski County,33935
Radford City,18255
Rappahannock County,7260
Richmond City,232226
Richmond County,9071
Roanoke City,99058
Roanoke County,94509
Rockbridge County,22757
Rockingham County,82346
Russell County,26647
Salem City,25340
Scott County,21629
Shenandoah County,43905
Smyth County,30090
Southampton County,17636
Spotsylvania County,138449
Stafford County,156748
Staunton City,25190
Suffolk City,93913
Surry County,6385
Sussex County,10925
Tazewell County,40529
Virginia Beach City,451231
Warren County,40475
Washington County,53695
Waynesboro City,22741
Westmoreland County,18149
Williamsburg City,15259
Winchester City,27700
Wise County,37206
Wythe County,28620
York County,69199
