Agent,Agent Population Served,Agent Mean z-score Served,Agent Mean Commute Time,Agent Population Weighted Need Served,Territory
Albemarle County,64918,14.299289367354172,33.4,938245.4572191273,"['Fluvanna County', 'Nelson County', 'Waynesboro City']"
Amelia County,61113,10.232814205867594,28.1,592692.8350986431,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']"
Amherst County,48835,10.490295472543748,32.7,551361.0014833991,"['Amherst County', 'Buckingham County']"
Arlington County,398845,19.55484183480712,10.0,7864608.083677636,"['Alexandria City', 'Arlington County']"
Bedford County,79811,17.29406585861538,10.0,1380256.690241952,['Bedford County']
Chesapeake City,436018,10.923226647158948,27.155555555555534,5152999.815056476,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']"
Fairfax County,1723313,18.148282860325494,23.099999999999998,34366335.636225745,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']"
Floyd County,114168,14.44808499760475,24.325,1606605.3058957036,"['Floyd County', 'Montgomery County']"
Franklin County,56167,13.179391206998309,10.0,740246.8659234741,['Franklin County']
Gloucester County,63736,14.631082859650686,27.845833333333353,976107.0902322652,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']"
Greensville County,52931,5.870270365393613,25.196666666666662,372216.5745331292,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']"
Henrico County,108262,17.93241799220517,21.4166666666667,1941399.4366721162,['Hanover County']
King George County,87333,11.154450841615276,27.325,1073781.0118981209,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']"
Lancaster County,31758,10.557543655221542,20.155555555555566,339270.76912930515,"['Lancaster County', 'Northumberland County', 'Richmond County']"
Lee County,86058,8.153153478043256,38.95,728021.8235955705,"['Lee County', 'Norton City', 'Scott County', 'Wise County']"
Loudoun County,422784,20.92492094555233,16.3666666666667,8846721.777044397,['Loudoun County']
Louisa County,195734,16.285407473972338,30.155555555555566,3461116.6818187493,"['Albemarle County', 'Charlottesville City', 'Louisa County']"
Lynchburg City County,152908,12.137392177197107,21.011111111111134,1883794.2498402246,"['Appomattox County', 'Campbell County', 'Lynchburg City']"
Mecklenburg County,70803,6.8887024938309755,35.08333333333335,530694.4252271832,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']"
Newport News City,364508,13.455882458811779,23.845833333333324,3838567.0079276944,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']"
Newport News City North,192539,15.409928628751539,28.80333333333334,3326974.2980378577,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']"
Orange County,124707,14.890482826303097,25.10833333333335,1851918.7155265287,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']"
Patrick County,80157,8.325405151918893,22.166666666666668,697265.4556526707,"['Henry County', 'Martinsville City', 'Patrick County']"
Petersburg City,126580,7.666918388384961,28.96333333333334,1007519.827521635,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']"
Pittsylvania County,133352,7.302901581091061,26.183333333333337,1034355.7463598864,"['Danville City', 'Halifax County', 'Pittsylvania County']"
Pulaski County,155575,11.04905071817565,39.770833333333336,1814461.942034422,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']"
Richmond City,959083,13.519037539916166,25.770000000000003,13049312.653571872,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']"
Roanoke County,277957,13.810130095709173,49.64047619047617,3774097.8114611274,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']"
Rockbridge County,40557,12.823931359044085,23.141666666666673,562857.3735116629,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']"
Rockingham County,239484,14.335154529962134,37.31333333333333,3522652.595044928,"['Augusta County', 'Harrisonburg City', 'Highland County', 'Rockingham County', 'Staunton City']"
Spotsylvania County,324689,14.771067190445828,23.99444444444443,4929212.4468818605,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']"
Virginia Beach City,451231,15.49870949561145,10.5833333333333,6993498.184414251,['Virginia Beach City']
Virginia Beach City North,286714,9.061506287132252,48.45555555555554,2711247.49539613,"['Accomack County', 'Norfolk City', 'Northampton County']"
Warren County,320375,15.318653250385623,32.12916666666666,5016994.841902235,"['Clarke County', 'Fauquier County', 'Frederick County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County', 'Winchester City']"
Washington County,202981,9.176223147475971,47.43571428571429,2007105.7649217956,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']"
Northeast District Office,54579,18.871902385837554,33.18333333333335,1028595.0951008741,"['Goochland County', 'Powhatan County']"
