"","V1","V2","V3"
"1","Salem city","+37.2853329","-080.0552407"
"2","Montgomery County","+37.1755376","-080.3877942"
"3","Poquoson city","+37.1283599","-076.3035337"
"4","James City County","+37.3248367","-076.7778878"
"5","Stafford County","+38.4230836","-077.4580475"
"6","Surry County","+37.1197611","-076.8801717"
"7","Hanover County","+37.7602149","-077.4913168"
"8","Russell County","+36.9334198","-082.0959342"
"9","Henry County","+36.6206119","-079.9806618"
"10","Alexandria city","+38.8192511","-077.0836695"
"11","Charlottesville city","+38.0376579","-078.4853806"
"12","King and Queen County","+37.7177719","-076.9055814"
"13","Waynesboro city","+38.0671571","-078.9014197"
"14","Floyd County","+36.9314331","-080.3502662"
"15","Middlesex County","+37.6069753","-076.5280819"
"16","Emporia city","+36.6961820","-077.5359753"
"17","Rappahannock County","+38.6845215","-078.1688241"
"18","Amherst County","+37.6293036","-079.1546672"
"19","Covington city","+37.7810603","-079.9854337"
"20","Essex County","+37.9363890","-076.9337475"
"21","Buchanan County","+37.2681198","-082.0381508"
"22","Alleghany County","+37.7879048","-080.0086690"
"23","Northumberland County","+37.8569736","-076.3796872"
"24","Craig County","+37.4736031","-080.2310507"
"25","Buckingham County","+37.5739280","-078.5291687"
"26","Gloucester County","+37.4035413","-076.5235051"
"27","Richmond city","+37.5313990","-077.4760085"
"28","Powhatan County","+37.5494041","-077.9128553"
"29","Falls Church city","+38.8847220","-077.1756027"
"30","Goochland County","+37.7188141","-077.9176263"
"31","Orange County","+38.2493265","-078.0110923"
"32","Greene County","+38.2979805","-078.4701629"
"33","Patrick County","+36.6671385","-080.2864130"
"34","King William County","+37.7082604","-077.0910539"
"35","Madison County","+38.4120586","-078.2769614"
"36","Lunenburg County","+36.9455547","-078.2405281"
"37","Roanoke city","+37.2784580","-079.9581739"
"38","Chesapeake city","+36.6793761","-076.3017884"
"39","Charlotte County","+37.0090421","-078.6585682"
"40","Isle of Wight County","+36.9014184","-076.7075688"
"41","Fauquier County","+38.7440956","-077.8215005"
"42","Radford city","+37.1201194","-080.5591473"
"43","Fairfax city","+38.8531833","-077.2990252"
"44","Henrico County","+37.4375205","-077.3003330"
"45","Franklin city","+36.6840142","-076.9413956"
"46","Harrisonburg city","+38.4362547","-078.8733028"
"47","Buena Vista city","+37.7293448","-079.3581337"
"48","Franklin County","+36.9911862","-079.8827149"
"49","New Kent County","+37.5101601","-076.9993305"
"50","Bedford County","+37.3122568","-079.5272234"
"51","Grayson County","+36.6522288","-081.2153240"
"52","Pittsylvania County","+36.8217206","-079.3985019"
"53","Giles County","+37.3180719","-080.6983210"
"54","Wythe County","+36.8998674","-081.0830007"
"55","Prince William County","+38.7011187","-077.4795791"
"56","Scott County","+36.7127756","-082.6136238"
"57","Charles City County","+37.3610537","-077.0541700"
"58","Manassas Park city","+38.7693983","-077.4423230"
"59","Arlington County","+38.8783374","-077.1007034"
"60","Carroll County","+36.7319632","-080.7278307"
"61","Newport News city","+37.0761357","-076.5219802"
"62","Bath County","+38.0683679","-079.7312032"
"63","Winchester city","+39.1738688","-078.1763562"
"64","Sussex County","+36.9266454","-077.2597319"
"65","Cumberland County","+37.5201891","-078.2528364"
"66","Smyth County","+36.8423183","-081.5397861"
"67","Washington County","+36.7478138","-081.9503218"
"68","Roanoke County","+37.3307920","-080.1912371"
"69","Augusta County","+38.1725895","-079.1409749"
"70","Danville city","+36.5833337","-079.4080707"
"71","Hopewell city","+37.2910098","-077.2989443"
"72","Halifax County","+36.7664610","-078.9396142"
"73","Portsmouth city","+36.8593388","-076.3569725"
"74","Shenandoah County","+38.8562040","-078.5739867"
"75","Lexington city","+37.7823316","-079.4443196"
"76","Accomack County","+37.7659435","-075.7578073"
"77","Albemarle County","+38.0241841","-078.5535056"
"78","Clarke County","+39.1153068","-077.9907479"
"79","Greensville County","+36.6803363","-077.5602774"
"80","Dinwiddie County","+37.0734984","-077.6354922"
"81","Norfolk city","+36.9230149","-076.2446413"
"82","Pulaski County","+37.0633853","-080.7134439"
"83","Dickenson County","+37.1367011","-082.3492199"
"84","Amelia County","+37.3319271","-077.9774619"
"85","Bristol city","+36.6169541","-082.1575641"
"86","Botetourt County","+37.5654822","-079.7975457"
"87","Norton city","+36.9315489","-082.6259960"
"88","Staunton city","+38.1579778","-079.0618761"
"89","Williamsburg city","+37.2694810","-076.7081925"
"90","Page County","+38.6232085","-078.4918718"
"91","Westmoreland County","+38.1093110","-076.8039326"
"92","Rockbridge County","+37.8145174","-079.4477537"
"93","Nelson County","+37.7890795","-078.8834397"
"94","Nottoway County","+37.1411668","-078.0538655"
"95","Martinsville city","+36.6835269","-079.8636475"
"96","Appomattox County","+37.3707253","-078.8109404"
"97","Fluvanna County","+37.8305840","-078.2834938"
"98","Wise County","+36.9745607","-082.6215601"
"99","Fredericksburg city","+38.2992718","-077.4866583"
"100","Mathews County","+37.4253479","-076.2688078"
"101","King George County","+38.2771799","-077.1626355"
"102","Prince Edward County","+37.2248813","-078.4329574"
"103","Galax city","+36.6656397","-080.9143083"
"104","Campbell County","+37.2101515","-079.0954282"
"105","Lynchburg city","+37.3990161","-079.1954582"
"106","Louisa County","+37.9727041","-077.9597950"
"107","Bland County","+37.1306124","-081.1258532"
"108","Petersburg city","+37.2047302","-077.3923681"
"109","Southampton County","+36.7200678","-077.1038135"
"110","Suffolk city","+36.6971573","-076.6347808"
"111","Fairfax County","+38.8295203","-077.2732524"
"112","Lee County","+36.7017206","-083.1301117"
"113","Tazewell County","+37.1253949","-081.5629237"
"114","Loudoun County","+39.0812000","-077.6388976"
"115","York County","+37.2209139","-076.3955330"
"116","Culpeper County","+38.4859303","-077.9564758"
"117","Rockingham County","+38.5075848","-078.8853213"
"118","Warren County","+38.9082214","-078.2075940"
"119","Manassas city","+38.7468077","-077.4826328"
"120","Northampton County","+37.3027754","-075.9240177"
"121","Highland County","+38.3662431","-079.5644718"
"122","Spotsylvania County","+38.1824314","-077.6572264"
"123","Chesterfield County","+37.3784338","-077.5858474"
"124","Brunswick County","+36.7642043","-077.8614832"
"125","Prince George County","+37.1873255","-077.2209931"
"126","Hampton city","+37.0479606","-076.2972931"
"127","Frederick County","+39.2036601","-078.2638291"
"128","Caroline County","+38.0280328","-077.3537363"
"129","Colonial Heights city","+37.2616846","-077.3968043"
"130","Virginia Beach city","+36.7795254","-076.0291418"
"131","Lancaster County","+37.7048433","-076.4126628"
"132","Richmond County","+37.9428936","-076.7305609"
"133","Mecklenburg County","+36.6872563","-078.3689592"
